,RAW DATA
7,Relational Databases
8,SQL
9,ORM
11,Hibernate
12,MyBatis
13,Hibernate
16,Maven
18,continuous integration
20,jenkins
21,bamboo
23,frameworks
29,consistency
37,variances
40,integrations
43,interpersonal skills
47,data marts
49,profiling tools
55,Python
58,SQL
62,MySQL
63,Oracle
70,Celery
76,GCP
77,Azure
78,AWS
80,persuasion
83,scripting
91,orchestration
92,docker
101,databases
102,consistency
111,Github
113,Microservices
114,AWS
117,Ruby
123,Redis
126,scripting
134,orchestration
135,docker
144,databases
145,consistency
154,Github
156,Microservices
157,AWS
160,Ruby
166,Redis
168,JavaScript
169,HTML
170,CSS
171,algorithms
174,Angular
175,Meteor
177,Knockout
180,Bootstrap
182,TypeScript
188,SASS
199,APIs
202,JSON
204,Architectural Patterns
206,Maven
218,NoSQL
219,MongoDB
220,Cassandra
221,Redis
223,Oracle WebLogic
224,JBoss
225,Tomcat
226,frameworks
227,Jasmine
228,Karma
229,Protractor
230,Junit
235,tuning
239,Guice
246,Python programming
247,Python
248,frameworks
249,Django
250,Flask
251,APIs
258,usability design
268,optimization
277,QML
283,SQL
287,mentor
288,Architects
291,deployment
297,reliability
299,deliverables
305,internationalization
306,extensions
317,coding
325,architectures
332,reliability
334,frameworks
349,CSS3
350,CSS
352,SASS
353,SCSS
354,Mysql
360,deployment
365,modifications
366,specifications
380,SOPs
391,consistency
394,supervisor
396,SOPs
403,SAP
409,rework
419,protocols
434,deployment
437,Coda
439,analytical techniques
441,ETL
445,S3
446,EMR
447,EC2
453,pipelines
456,Tableau
463,data visualization
465,EMR
473,algorithm design
474,problem solving
475,Agile Development
480,algorithms
492,Git
494,deadlines
495,deliverables
505,Scala
506,Python
510,networking
512,databases
513,AWS
514,Azure
515,GCP
516,databases
517,AWS
520,AWS
525,sprint planning
537,ORM
538,Entity Framework
539,Nhibernate
541,Nunit
542,xUnit
543,frameworks
546,Azure
553,relational databases
556,MongoDB
564,algorithms
568,Strong interpersonal
570,Xamarin
577,Architects
580,LINQ
586,Xamarin
590,XAML
595,Continuous Integration
596,CI
597,DevOps
598,Automation Testing
599,Xamarin
602,Git
603,TFS
606,VSTS
611,PCL
612,SQLite
616,Xamarin
618,Core Java
627,CRM
628,CMS
634,UX
638,APIs
645,DevOps
646,frameworks
655,frameworks
662,cloud computing
663,containerization
667,Clojure
668,Angular
672,architectural patterns
673,Node
674,Typescript
676,AWS
677,Azure
678,GCP
687,API
692,oversight
694,emerging technologies
695,frameworks
701,Angular
705,architectural patterns
706,Node
707,Typescript
709,AWS
710,Azure
711,GCP
719,architects
721,API
724,emerging technologies
725,frameworks
733,Angular
737,architectural patterns
738,Node
739,Typescript
741,AWS
742,Azure
743,GCP
752,API
757,oversight
759,emerging technologies
760,frameworks
767,UI
771,Python
772,cloud computing
779,documentation
782,Python
787,Elasticsearch
788,Kibana
789,mentor
793,constructive feedback
802,DevOPS
807,SLA
813,VPN
